vino,okus
100056,ripe cherry
100056,  plum
100056,  strawberry
100056,  raspberry and   mushroom
100087,grass
100087,  gooseberry
100087,  grapefruit
100087,  lime
100087,  melon
100087,  citrus
100087,  mineral and   flint
100112,currant
100112,  blackberry
100112,  cherry
100112,  bell pepper
100112,  olive
100112,  asparagus
100112,  spice
100112,  ginger
100112,  oak and   vanilla
100202,currant
100202,  blackberry
100202,  cherry
100202,  bell pepper
100202,  olive
100202,  asparagus
100202,  spice
100202,  ginger
100202,  oak and   vanilla
100224,blackberry
100224,  cherry
100224,  smoke and   earth
100259,currant
100259,  blackberry
100259,  cherry
100259,  bell pepper
100259,  olive
100259,  asparagus
100259,  spice
100259,  ginger
100259,  oak
100259,  vanilla
100259,  black cherry
100259,  plum
100259,  smoke
100259,  toast
100259,  tar
100259,  tobacco
100259,  raspberry
100259,  cassis
100259,  violet
100259,  pepper and   green bean
100298,red fruit
100298,  strawberry
100298,  raspberry
100298,  currant
100298,  black cherry
100298,  plum
100298,  bell pepper
100298,  olive
100298,  oak
100298,  smoke
100298,  toast
100298,  tar
100298,  blackberry
100298,  cherry
100298,  asparagus
100298,  spice
100298,  ginger
100298,  vanilla
100298,  berry
100298,  sour cherry
100298,  tobacco
100298,  leather and   mushroom
100376,black currant
100376,  blackberry
100376,  dust
100376,  leather
100376,  blackberry
100376,  violet
100376,  oak
100376,  smoke
100376,  toast and   vanilla
100414,ripe cherry
100414,  plum
100414,  strawberry
100414,  raspberry and   mushroom
100533,currant
100533,  blackberry
100533,  cherry
100533,  bell pepper
100533,  olive
100533,  asparagus
100533,  spice
100533,  ginger
100533,  oak and   vanilla
100596,apple
100596,  peach and   citrus
100624,chocolate
100624,  mocha
100624,  fig
100624,  earth
100624,  raisin
100624,  cranberry
100624,  plum
100624,  fruity
100624,  cherry
100624,  strawberry and   earthy
100625,honey
100625,  citrus
100625,  pear
100625,  banana and   peach
100628,red fruit
100628,  strawberry and   raspberry
100730,apple
100730,  pear
100730,  peach
100730,  apricot
100730,  lemon
100730,  lime
100730,  orange
100730,  pineapple
100730,  kiwi
100730,  butter
100730,  cream and   vanilla
100753,apple
100753,  pear
100753,  peach
100753,  apricot
100753,  lemon
100753,  lime
100753,  orange
100753,  pineapple
100753,  kiwi
100753,  butter
100753,  cream and   vanilla
100800,apple
100800,  pear
100800,  peach
100800,  apricot
100800,  lemon
100800,  lime
100800,  orange
100800,  pineapple
100800,  kiwi
100800,  butter
100800,  cream and   vanilla
100803,ripe cherry
100803,  plum
100803,  strawberry
100803,  raspberry and   mushroom
100828,apple
100828,  pear
100828,  peach
100828,  apricot
100828,  lemon
100828,  lime
100828,  orange
100828,  pineapple
100828,  kiwi
100828,  butter
100828,  cream and   vanilla
100929,currant
100929,  blackberry
100929,  cherry
100929,  bell pepper
100929,  olive
100929,  asparagus
100929,  spice
100929,  ginger
100929,  oak and   vanilla
101030,apple
101030,  pear
101030,  peach
101030,  apricot
101030,  honey
101030,  lemon
101030,  spice
101030,  lychee and   mango
101038,black currant
101038,  blackberry
101038,  dust
101038,  leather
101038,  strawberry
101038,  vanilla
101038,  musk
101038,  currant
101038,  blueberry
101038,  blackberry
101038,  violet
101038,  oak
101038,  smoke and   toast
101045,lemon
101045,  apple and   pear
101048,cherry
101048,  strawberry and   raspberry
101058,ripe cherry
101058,  plum
101058,  strawberry
101058,  raspberry
101058,  mushroom
101058,  apple
101058,  pear
101058,  peach
101058,  apricot
101058,  lemon
101058,  lime
101058,  orange
101058,  pineapple
101058,  kiwi
101058,  butter
101058,  cream and   vanilla
101073,pepper
101073,  earth
101073,  green
101073,  plum
101073,  mocha
101073,  currant
101073,  black cherry
101073,  bell pepper
101073,  olive
101073,  oak
101073,  smoke
101073,  toast
101073,  tar
101073,  blackberry
101073,  cedar
101073,  spice box and   light tannin
101096,cherry
101096,   raspberry
101096,   red currant and    acidity
101099,currant
101099,  blueberry
101099,  blackberry
101099,  strawberry
101099,  black currant
101099,  dust
101099,  leather
101099,  cherry
101099,  raspberry
101099,  licorice and   anise
101127,red fruit
101127,  strawberry and   raspberry
101182,apple
101182,  pear
101182,  peach
