vino,vonj
100056,barnyard
100056,  cherry
100056,  plum
100056,  game and   tomato
100087,apple
100087,  pear
100087,  kiwi
100087,  citrus
100087,  stone
100087,  grapefruit and   melon
100112,currant
100112,  blackberry
100112,  cherry
100112,  cedar and   cigar box
100202,currant
100202,  blackberry
100202,  cherry
100202,  cedar and   cigar box
100224,truffle
100224,  cherry
100224,  plum
100224,  leather and   vanilla
100259,currant
100259,  blackberry
100259,  cherry
100259,  cedar
100259,  cigar box
100259,  violet
100259,  rose
100259,  truffle
100259,  earth
100259,  coffee
100259,  leather
100259,  tobacco
100259,  broccoli
100259,  berry and   flower
100298,asparagus
100298,  green pepper
100298,  red fruit
100298,  violet
100298,  rose
100298,  truffle
100298,  earth
100298,  coffee
100298,  leather
100298,  currant
100298,  blackberry
100298,  cherry
100298,  cedar
100298,  cigar box
100298,  berry
100298,  sour cherry
100298,  tobacco and   mushroom
100376,vanilla
100376,  toast
100376,  smoke
100376,  tobacco
100376,  dark fruit
100376,  red fruit
100376,  thyme
100376,  clove
100376,  cinnamon
100376,  black pepper and   mint
100414,barnyard
100414,  cherry
100414,  plum
100414,  game and   tomato
100533,currant
100533,  blackberry
100533,  cherry
100533,  cedar and   cigar box
100596,floral
100596,  grass and   almond
100624,chocolate
100624,  mocha
100624,  fig
100624,  earth
100624,  raisin
100624,  cranberry
100624,  plum
100624,  fruity
100624,  cherry
100624,  strawberry and   earthy
100625,honey
100625,  slate
100625,  almond and   citrus
100628,asparagus
100628,  green pepper and   red fruit
100730,apple
100730,  pear
100730,  peach
100730,  apricot
100730,  lemon
100730,  lime
100730,  orange
100730,  pineapple
100730,  kiwi
100730,  butter
100730,  cream and   vanilla
100753,apple
100753,  pear
100753,  peach
100753,  apricot
100753,  lemon
100753,  lime
100753,  orange
100753,  pineapple
100753,  kiwi
100753,  butter
100753,  cream and   vanilla
100800,apple
100800,  pear
100800,  peach
100800,  apricot
100800,  lemon
100800,  lime
100800,  orange
100800,  pineapple
100800,  kiwi
100800,  butter
100800,  cream and   vanilla
100803,barnyard
100803,  cherry
100803,  plum
100803,  game and   tomato
100828,apple
100828,  pear
100828,  peach
100828,  apricot
100828,  lemon
100828,  lime
100828,  orange
100828,  pineapple
100828,  kiwi
100828,  butter
100828,  cream and   vanilla
100929,currant
100929,  blackberry
100929,  cherry
100929,  cedar and   cigar box
101030,petrol
101030,  flint
101030,  rose petal
101030,  violet
101030,  orange peel
101030,  apple
101030,  pear
101030,  peach
101030,  floral
101030,  butter
101030,  cream
101030,  almond
101030,  citrus
101030,  honey
101030,  spice
101030,  perfume and   mango
101038,vanilla
101038,  toast
101038,  smoke
101038,  tobacco
101038,  dark fruit
101038,  red fruit
101038,  game
101038,  tar
101038,  dust
101038,  spice box
101038,  cedar
101038,  thyme
101038,  clove
101038,  cinnamon
101038,  black pepper and   mint
101045,floral
101045,  butter
101045,  cream
101045,  almond and   citrus
101048,violet
101048,  rose petal
101048,  oak
101048,  smoke and   mushroom
101058,barnyard
101058,  cherry
101058,  plum
101058,  game
101058,  tomato
101058,  apple
101058,  pear
101058,  peach
101058,  apricot
101058,  lemon
101058,  lime
101058,  orange
101058,  pineapple
101058,  kiwi
101058,  butter
101058,  cream and   vanilla
101073,spice
101073,  earth
101073,  currant
101073,  cherry
101073,  violet
101073,  rose
101073,  truffle
101073,  coffee
101073,  leather
101073,  lavender
101073,  cinnamon
101073,  incense and   blackberry
101096,cherry
101096,   raspberry and    red currant
101099,spice box
101099,  cedar
101099,  dark fruit
101099,  vanilla
101099,  toast
101099,  smoke
101099,  tobacco
101099,  red fruit
101099,  violet
101099,  rose petal
101099,  oak and   mushroom
101127,asparagus
101127,  green pepper and   red fruit
101182,apple
101182,  pear
101182,  peach
101182,  apricot
101182,  lemon
101182,  lime
101182,  orange
101182,  pineapple
101182,  kiwi
101182,  butter
101182,  cream and   vanilla
101187,barnyard
101187,  cherry
101187,  plum
101187,  game and   tomato
101195,currant
101195,  blackberry
101195,  cherry
101195,  cedar
101195,  cigar box
101195,  violet
101195,  rose
101195,  truffle
101195,  earth
101195,  coffee
101195,  leather
101195,  tobacco
101195,  broccoli
101195,  berry
101195,  flower
101195,  mocha and   vanilla
101227,spice box
101227,  cedar and   dark fruit
101228,grapey
101228,  coriander
101228,  peach and   orange
10129,apple
10129,  pear
10129,  white peach and   apricot
101342,apple
101342,  pear
101342,  peach
101342,  apricot
101342,  lemon
101342,  lime
101342,  orange
101342,  pineapple
101342,  kiwi
101342,  butter
101342,  cream and   vanilla
101359,barnyard
101359,  cherry
101359,  plum
101359,  game and   tomato
101398,herb
101398,  tea
101398,  wild flower
101398,  apple
101398,  honey
101398,  slate
101398,  almond and   citrus
101403,currant
101403,  blackberry
101403,  cherry
101403,  cedar and   cigar box
101407,apple
101407,  pear
101407,  peach
101407,  apricot
101407,  lemon
101407,  lime
101407,  orange
101407,  pineapple
101407,  kiwi
101407,  butter
101407,  cream and   vanilla
101526,honeydew
101526,  iodine
101526,  grass
101526,  citrus
101526,  melon and   kiwi
101555,barnyard
101555,  cherry
101555,  plum
101555,  game and   tomato
101573,apple
101573,  pear
101573,  peach
101573,  apricot
101573,  lemon
101573,  lime
101573,  orange
101573,  pineapple
101573,  kiwi
101573,  butter
101573,  cream and   vanilla
101574,apple
101574,  pear
101574,  peach
101574,  apricot
101574,  lemon
101574,  lime
101574,  orange
101574,  pineapple
101574,  kiwi
101574,  butter
101574,  cream and   vanilla
101577,red cherry
101577,  raspberry
101577,  licorice
101577,  tobacco
101577,  sweet spice and   mineral
101595,apple
101595,  pear
101595,  peach
101595,  apricot
101595,  lemon
101595,  lime
101595,  orange
101595,  pineapple
101595,  kiwi
101595,  butter
101595,  cream and   vanilla
101601,floral note
101601,  mineral
101601,  apricot
101601,  peach and   acacia
101624,apple
101624,  pear
101624,  peach
101624,  apricot
101624,  lemon
101624,  lime
101624,  orange
101624,  pineapple
101624,  kiwi
101624,  butter
101624,  cream and   vanilla
101657,wildflower
101657,  bitter almond
101657,  citrus and   apple
101663,spice
101663,  earth
101663,  currant and   cherry
101679,barnyard
101679,  cherry
101679,  plum
101679,  game and   tomato
101763,cinnamon
101763,  cigar box
101763,  pomegranate
101763,  mushroom
101763,  gamey and   plum
101774,apple
101774,  pear
101774,  peach
101774,  apricot
101774,  lemon
101774,  lime
101774,  orange
101774,  pineapple
101774,  kiwi
101774,  butter
101774,  cream and   vanilla
101782,spice box
101782,  cedar and   dark fruit
101791,blackberry
101791,  cassis
101791,  plum and   cinnamon 
101792,berry
101792,  cherry
101792,  plum
101792,  earth
101792,  leather
101792,  herb
101792,  red fruit
101792,   tar
101792,   smoke
101792,   garrigue
101792,   cranberry
101792,   red currant
101792,  tobacco
101792,  berry and   flower
101801,violet
101801,  rose
101801,  truffle
101801,  earth
101801,  coffee and   leather
101835,asparagus
101835,  green pepper
101835,  red fruit
101835,  currant
101835,  blackberry
101835,  cherry
101835,  cedar and   cigar box
101890,currant
101890,  blackberry
101890,  cherry
101890,  cedar
101890,  cigar box
101890,  mocha
101890,  leather
101890,  vanilla
101890,  tobacco
101890,  broccoli
101890,  berry and   flower
101897,barnyard
101897,  cherry
101897,  plum
101897,  game and   tomato
101925,apple
101925,  pear
101925,  peach
101925,  apricot
101925,  lemon
101925,  lime
101925,  orange
101925,  pineapple
101925,  kiwi
101925,  butter
101925,  cream and   vanilla
101971,barnyard
101971,  cherry
101971,  plum
