vino,okus
100015,berry
100015,  cherry
100015,  plum
100015,  earth
100015,  leather
100015,  herb
100015,  black currant
100015,  blackberry
100015,  dust
100015,  leather
100015,  black berry
100015,  black cherry
100015,  tobacco and   tar
100056,ripe cherry
100056,  plum
100056,  strawberry
100056,  raspberry and   mushroom
100087,grass
100087,  gooseberry
100087,  grapefruit
100087,  lime
100087,  melon
100087,  citrus
100087,  mineral and   flint
100098,currant
100098,  blackberry
100098,  cherry
100098,  bell pepper
100098,  olive
100098,  asparagus
100098,  spice
100098,  ginger
100098,  oak
100098,  vanilla
100098,  black cherry
100098,  plum
100098,  smoke
100098,  toast
100098,  tar
100098,  tobacco
100098,  raspberry
100098,  cassis
100098,  violet
100098,  pepper and   green bean
100138,currant
100138,  black cherry
100138,  plum
100138,  bell pepper
100138,  olive
100138,  oak
100138,  smoke
100138,  toast and   tar
100258,currant
100258,  blackberry
100258,  cherry
100258,  bell pepper
100258,  olive
100258,  asparagus
100258,  spice
100258,  ginger
100258,  oak
100258,  vanilla
100258,  tobacco
100258,  raspberry
100258,  cassis
100258,  violet
100258,  pepper
100258,  green bean
100258,  black cherry
100258,  plum
100258,  smoke
100258,  toast
100258,  tar
100258,  lead
100258,  cedar
100258,  molasses and   dark fruit
100259,currant
100259,  blackberry
100259,  cherry
100259,  bell pepper
100259,  olive
100259,  asparagus
100259,  spice
100259,  ginger
100259,  oak
100259,  vanilla
100259,  black cherry
100259,  plum
100259,  smoke
100259,  toast
100259,  tar
100259,  tobacco
100259,  raspberry
100259,  cassis
100259,  violet
100259,  pepper and   green bean
100263,pear
100263,  spice
100263,  apple
100263,  lemon
100263,  lychee and   mango
100265,currant
100265,  blackberry
100265,  cherry
100265,  bell pepper
100265,  olive
100265,  asparagus
100265,  spice
100265,  ginger
100265,  oak and   vanilla
100298,red fruit
100298,  strawberry
100298,  raspberry
100298,  currant
100298,  black cherry
100298,  plum
100298,  bell pepper
100298,  olive
100298,  oak
100298,  smoke
100298,  toast
100298,  tar
100298,  blackberry
100298,  cherry
100298,  asparagus
100298,  spice
100298,  ginger
100298,  vanilla
100298,  berry
100298,  sour cherry
100298,  tobacco
100298,  leather and   mushroom
100362,red fruit
100362,  strawberry and   raspberry
100376,black currant
100376,  blackberry
100376,  dust
100376,  leather
100376,  blackberry
100376,  violet
100376,  oak
100376,  smoke
100376,  toast and   vanilla
100378,red fruit
100378,  strawberry
100378,  raspberry
100378,  dark fruit
100378,  plum
100378,  cinnamon
100378,  earth
100378,  blueberry
100378,  currant
100378,  black cherry
100378,  bell pepper
100378,  olive
100378,  oak
100378,  smoke
100378,  toast and   tar
100383,ripe cherry
100383,  plum
100383,  strawberry
100383,  raspberry and   mushroom
100414,ripe cherry
100414,  plum
100414,  strawberry
100414,  raspberry and   mushroom
100490,strawberry
100490,  raspberry
100490,  meat
100490,  spice box
100490,  leather
100490,  herbs
100490,  strawberry
100490,  raspberry and   tannins
100498,plum
100498,  violet
100498,  almond
100498,  dark berry
100498,  spice
100498,  jam
100498,  blueberry
100498,  black pepper
100498,  cherry
100498,  boysenberry
100498,  cranberry and   licorice
100514,currant
100514,  blackberry
100514,  cherry
100514,  bell pepper
100514,  olive
100514,  asparagus
100514,  spice
100514,  ginger
100514,  oak
100514,  vanilla
100514,  lead
100514,  cedar
100514,  molasses
100514,  dark fruit
100514,  tobacco
100514,  raspberry
100514,  cassis
100514,  violet
100514,  pepper
100514,  green bean
100514,  black cherry
100514,  plum
100514,  smoke
100514,  toast and   tar
100521,black currant
100521,  blackberry
100521,  dust and   leather
100531,chocolate
100531,  mocha
100531,  fig
100531,  earth
100531,  raisin
100531,  cranberry and   plum
100533,currant
100533,  blackberry
100533,  cherry
100533,  bell pepper
100533,  olive
100533,  asparagus
100533,  spice
100533,  ginger
100533,  oak and   vanilla
100545,apple
100545,  pear
100545,  peach
100545,  apricot and   honey
100596,apple
100596,  peach and   citrus
100607,honeysuckle
100607,  quince
100607,  melon and   cantaloupe
100610,grass
100610,  gooseberry
100610,  grapefruit
100610,  lime
100610,  melon
100610,  citrus
100610,  mineral and   flint
100625,honey
100625,  citrus
100625,  pear
100625,  banana and   peach
100628,red fruit
100628,  strawberry and   raspberry
100640,red fruit
100640,  strawberry
100640,  raspberry
100640,  currant
100640,  black cherry
100640,  plum
100640,  bell pepper
100640,  olive
100640,  oak
100640,  smoke
100640,  toast
100640,  tar
100640,  blackberry
100640,  cherry
100640,  asparagus
100640,  spice
100640,  ginger and   vanilla
100753,apple
100753,  pear
100753,  peach
100753,  apricot
100753,  lemon
100753,  lime
100753,  orange
100753,  pineapple
100753,  kiwi
100753,  butter
100753,  cream and   vanilla
100754,currant
100754,  blueberry
100754,  blackberry
100754,  strawberry
100754,  black currant
100754,  dust
100754,  leather
100754,  cherry
100754,  bell pepper
