vino,vonj
100015,berry
100015,  cherry
100015,  plum
100015,  earth
100015,  leather
100015,  herb
100015,  vanilla
100015,  toast
100015,  smoke
100015,  tobacco
100015,  dark fruit
100015,  red fruit
100015,  black berry
100015,  black cherry
100015,  tar and   flower
100056,barnyard
100056,  cherry
100056,  plum
100056,  game and   tomato
100087,apple
100087,  pear
100087,  kiwi
100087,  citrus
100087,  stone
100087,  grapefruit and   melon
100098,currant
100098,  blackberry
100098,  cherry
100098,  cedar
100098,  cigar box
100098,  violet
100098,  rose
100098,  truffle
100098,  earth
100098,  coffee
100098,  leather
100098,  tobacco
100098,  broccoli
100098,  berry and   flower
100138,violet
100138,  rose
100138,  truffle
100138,  earth
100138,  coffee and   leather
100258,currant
100258,  blackberry
100258,  cherry
100258,  cedar
100258,  cigar box
100258,  tobacco
100258,  broccoli
100258,  berry
100258,  flower
100258,  violet
100258,  rose
100258,  truffle
100258,  earth
100258,  coffee
100258,  leather
100258,  mocha and   vanilla
100259,currant
100259,  blackberry
100259,  cherry
100259,  cedar
100259,  cigar box
100259,  violet
100259,  rose
100259,  truffle
100259,  earth
100259,  coffee
100259,  leather
100259,  tobacco
100259,  broccoli
100259,  berry and   flower
100263,petrol
100263,  flint
100263,  honey
100263,  spice
100263,  perfume
100263,  peach and   mango
100265,currant
100265,  blackberry
100265,  cherry
100265,  cedar and   cigar box
100298,asparagus
100298,  green pepper
100298,  red fruit
100298,  violet
100298,  rose
100298,  truffle
100298,  earth
100298,  coffee
100298,  leather
100298,  currant
100298,  blackberry
100298,  cherry
100298,  cedar
100298,  cigar box
100298,  berry
100298,  sour cherry
100298,  tobacco and   mushroom
100362,asparagus
100362,  green pepper and   red fruit
100376,vanilla
100376,  toast
100376,  smoke
100376,  tobacco
100376,  dark fruit
100376,  red fruit
100376,  thyme
100376,  clove
100376,  cinnamon
100376,  black pepper and   mint
100378,asparagus
100378,  green pepper
100378,  red fruit
100378,  dark fruit
100378,  plum
100378,  cinnamon
100378,  earth
100378,  blueberry
100378,  violet
100378,  rose
100378,  truffle
100378,  coffee and   leather
100383,barnyard
100383,  cherry
100383,  plum
100383,  game and   tomato
100414,barnyard
100414,  cherry
100414,  plum
100414,  game and   tomato
100490,strawberry
100490,  raspberry
100490,  meat
100490,  spice box
100490,  leather
100490,  herbs
100490,  strawberry
100490,  raspberry and   tannins
100498,plum
100498,  violet
100498,  almond
100498,  dark berry
100498,  spice
100498,  candy
100498,  vanilla
100498,  oak
100498,  smoke
100498,  tar
100498,  musk and   mushroom
100514,currant
100514,  blackberry
100514,  cherry
100514,  cedar
100514,  cigar box
100514,  mocha
100514,  leather
100514,  vanilla
100514,  tobacco
100514,  broccoli
100514,  berry
100514,  flower
100514,  violet
100514,  rose
100514,  truffle
100514,  earth and   coffee
100521,vanilla
100521,  toast
100521,  smoke
100521,  tobacco
100521,  dark fruit and   red fruit
100531,chocolate
100531,  mocha
100531,  fig
100531,  earth
100531,  raisin
100531,  cranberry and   plum
100533,currant
100533,  blackberry
100533,  cherry
100533,  cedar and   cigar box
100545,petrol
100545,  flint
100545,  rose petal
100545,  violet
100545,  orange peel
100545,  apple
100545,  pear and   peach
100596,floral
100596,  grass and   almond
100607,honeydew
100607,  iodine
100607,  grass
100607,  citrus
100607,  melon and   kiwi
100610,apple
100610,  pear
100610,  kiwi
100610,  citrus
100610,  stone
100610,  grapefruit and   melon
100625,honey
100625,  slate
100625,  almond and   citrus
100628,asparagus
100628,  green pepper and   red fruit
100640,asparagus
100640,  green pepper
100640,  red fruit
100640,  violet
100640,  rose
100640,  truffle
100640,  earth
100640,  coffee
100640,  leather
100640,  currant
100640,  blackberry
100640,  cherry
100640,  cedar and   cigar box
100753,apple
100753,  pear
100753,  peach
100753,  apricot
100753,  lemon
100753,  lime
100753,  orange
100753,  pineapple
100753,  kiwi
100753,  butter
100753,  cream and   vanilla
100754,spice box
100754,  cedar
100754,  dark fruit
100754,  vanilla
100754,  toast
100754,  smoke
100754,  tobacco
100754,  red fruit
100754,  currant
100754,  blackberry
100754,  cherry
100754,  cigar box
100754,  thyme
100754,  clove
100754,  cinnamon
100754,  black pepper and   mint
100800,apple
100800,  pear
100800,  peach
100800,  apricot
100800,  lemon
100800,  lime
100800,  orange
100800,  pineapple
100800,  kiwi
100800,  butter
100800,  cream and   vanilla
100803,barnyard
100803,  cherry
100803,  plum
100803,  game and   tomato
100804,violet
100804,  rose
100804,  truffle
100804,  earth
100804,  coffee
100804,  leather
100804,  tobacco
100804,  broccoli
100804,  berry and   flower
100828,apple
100828,  pear
100828,  peach
100828,  apricot
100828,  lemon
100828,  lime
100828,  orange
100828,  pineapple
100828,  kiwi
100828,  butter
100828,  cream and   vanilla
100845,grapey
100845,  coriander
100845,  peach and   orange
100854,barnyard
100854,  cherry
100854,  plum
